"Quarter_Year","Category","Count"
"2024 Q2","FC",75.96
"2024 Q2","MA",9.9
"2024 Q2","No Active Offense",0.09
"2024 Q2","S",23.59
"2024 Q3","F1",2462.77
"2024 Q3","F2",2169.16
"2024 Q3","F3",1644.49
"2024 Q3","FC",73.41
"2024 Q3","MA",11.12
"2024 Q3","S",24
"2024 Q4","F1",2480.86
"2024 Q4","F2",2166.03
"2024 Q4","F3",1601.55
"2024 Q4","FC",73
"2024 Q4","MA",10.79
"2024 Q4","S",24.93
"2025 Q1","F1",2489.31
"2025 Q1","F2",2187.7
"2025 Q1","F3",1576
"2025 Q1","FC",73.91
"2025 Q1","MA",8.83
"2025 Q1","S",24.61
"2025 Q2","F1",2531.3
"2025 Q2","F2",2245.31
"2025 Q2","F3",1552.24
"2025 Q2","FC",73.14
"2025 Q2","MA",8.98
"2025 Q2","S",24
"2025 Q3","F1",2602.91
"2025 Q3","F2",2279.96
"2025 Q3","F3",1594.9
"2025 Q3","FC",71.91
"2025 Q3","MA",9.12
"2025 Q3","S",23.61
"2025 Q4","F1",2643.39
"2025 Q4","F2",2294.27
"2025 Q4","F3",1624.84
"2025 Q4","FC",71.61
"2025 Q4","MA",8.51
"2025 Q4","S",22.3
"2026 Q1","F1",2665.36
"2026 Q1","F2",2280.14
"2026 Q1","F3",1575.19
"2026 Q1","FC",70.68
"2026 Q1","MA",7.92
"2026 Q1","S",21.1
"2026 Q2","F1",2700.07
"2026 Q2","F2",2310.27
"2026 Q2","F3",1573.04
"2026 Q2","FC",70
"2026 Q2","MA",6.75
"2026 Q2","No Active Offense",0.33
"2026 Q2","S",20.53
