"Quarter_Year","Category","Count"
"2015 Q4","WEAPONS",87.37
"2016 Q1","ALCOHOL & DRUG",498.07
"2016 Q1","DRIVING",186.42
"2016 Q1","DRUG POSSESSION ONLY",220.46
"2016 Q1","MURDER",755.42
"2016 Q1","No Active Offense",7.71
"2016 Q1","OTHER",97.68
"2016 Q1","PERSON",1193.24
"2016 Q1","PROPERTY",1200.46
"2016 Q1","SEX/NON-REGISTERABLE",17.52
"2016 Q1","SEX/REGISTERABLE",2144.87
"2016 Q1","WEAPONS",88.64
"2016 Q2","ALCOHOL & DRUG",484.75
"2016 Q2","DRIVING",180.29
"2016 Q2","DRUG POSSESSION ONLY",191.58
"2016 Q2","MURDER",744.99
"2016 Q2","No Active Offense",9.33
"2016 Q2","OTHER",91.88
"2016 Q2","PERSON",1202.56
"2016 Q2","PROPERTY",1146.98
"2016 Q2","SEX/NON-REGISTERABLE",17.35
"2016 Q2","SEX/REGISTERABLE",2160.01
"2016 Q2","WEAPONS",95.27
"2016 Q3","ALCOHOL & DRUG",463.27
"2016 Q3","DRIVING",183.53
"2016 Q3","DRUG POSSESSION ONLY",176.22
"2016 Q3","MURDER",746.08
"2016 Q3","No Active Offense",6.68
"2016 Q3","OTHER",83.32
"2016 Q3","PERSON",1224.77
"2016 Q3","PROPERTY",1090.88
"2016 Q3","SEX/NON-REGISTERABLE",18.47
"2016 Q3","SEX/REGISTERABLE",2161.42
"2016 Q3","WEAPONS",86.13
"2016 Q4","ALCOHOL & DRUG",463.8
"2016 Q4","DRIVING",185.97
"2016 Q4","DRUG POSSESSION ONLY",157.82
"2016 Q4","MURDER",756.46
"2016 Q4","No Active Offense",4
"2016 Q4","OTHER",84.76
"2016 Q4","PERSON",1260.16
"2016 Q4","PROPERTY",1026.32
"2016 Q4","SEX/NON-REGISTERABLE",18.16
"2016 Q4","SEX/REGISTERABLE",2174.47
"2016 Q4","WEAPONS",95.52
"2017 Q1","ALCOHOL & DRUG",449.03
"2017 Q1","DRIVING",196.68
"2017 Q1","DRUG POSSESSION ONLY",136.99
"2017 Q1","MURDER",766.29
"2017 Q1","No Active Offense",4
"2017 Q1","OTHER",76.82
"2017 Q1","PERSON",1261.2
"2017 Q1","PROPERTY",1003.39
"2017 Q1","SEX/NON-REGISTERABLE",18.26
"2017 Q1","SEX/REGISTERABLE",2191.47
